label,seed,architecture,state,bpb,damage_bpb,attention_rel_rmse
std_seed1337,1337,standard,fp,1.15389791,0.00000000,
std_seed1337,1337,standard,uniform_int4,1.23999800,0.08610009,0.11570285
std_seed1337,1337,standard,isolated_int4_attn,1.18880560,0.03490769,0.11565321
std_seed1337,1337,standard,isolated_int4_mlp,1.19830266,0.04440475,0.00000000
std_seed1337,1337,standard,isolated_int4_attn_mlp,1.24001833,0.08612042,0.11565321
std_seed1337,1337,standard,isolated_int4_attn_q,1.15640090,0.00250299,0.03009085
std_seed1337,1337,standard,isolated_int4_attn_k,1.15735705,0.00345914,0.02858850
std_seed1337,1337,standard,isolated_int4_attn_payload,1.17575511,0.02185720,0.02870496
std_seed1337,1337,standard,isolated_int4_attn_out,1.16001474,0.00611683,0.02826890
std_seed1337,1337,standard,attn_gauss_r0.117_s1001,1.17912567,0.02522776,0.09147273
std_seed1337,1337,standard,attn_gauss_r0.117_s1002,1.17630623,0.02240832,0.09147273
std_seed1337,1337,standard,attn_gauss_r0.117_s1003,1.17555682,0.02165891,0.09147273
dg_seed1337,1337,dg,fp,1.16053063,0.00000000,
dg_seed1337,1337,dg,uniform_int4,1.23074181,0.07021118,0.11763067
dg_seed1337,1337,dg,isolated_int4_attn,1.17752403,0.01699340,0.11759336
dg_seed1337,1337,dg,isolated_int4_mlp,1.20797129,0.04744066,0.00000000
dg_seed1337,1337,dg,isolated_int4_attn_mlp,1.23072469,0.07019406,0.11759336
dg_seed1337,1337,dg,isolated_int4_attn_q,1.16249657,0.00196594,0.02930527
dg_seed1337,1337,dg,isolated_int4_attn_k,1.16257493,0.00204430,0.03059090
dg_seed1337,1337,dg,isolated_int4_attn_payload,1.16745452,0.00692389,0.02885824
dg_seed1337,1337,dg,isolated_int4_attn_out,1.16571758,0.00518695,0.02883895
dg_seed1337,1337,dg,attn_gauss_r0.117_s1001,1.17094757,0.01041694,0.09360000
dg_seed1337,1337,dg,attn_gauss_r0.117_s1002,1.17034792,0.00981729,0.09360000
dg_seed1337,1337,dg,attn_gauss_r0.117_s1003,1.16991925,0.00938862,0.09360000
std_seed42,42,standard,fp,1.15715072,0.00000000,
std_seed42,42,standard,uniform_int4,1.24774553,0.09059481,0.11448960
std_seed42,42,standard,isolated_int4_attn,1.19696062,0.03980990,0.11443870
std_seed42,42,standard,isolated_int4_mlp,1.20377222,0.04662150,0.00000000
std_seed42,42,standard,isolated_int4_attn_mlp,1.24776127,0.09061055,0.11443870
std_seed42,42,standard,isolated_int4_attn_q,1.15940316,0.00225244,0.02974109
std_seed42,42,standard,isolated_int4_attn_k,1.16030361,0.00315289,0.02784038
std_seed42,42,standard,isolated_int4_attn_payload,1.18206159,0.02491087,0.02885956
std_seed42,42,standard,isolated_int4_attn_out,1.16372279,0.00657207,0.02799767
std_seed42,42,standard,attn_gauss_r0.117_s1001,1.18088183,0.02373111,0.09147273
std_seed42,42,standard,attn_gauss_r0.117_s1002,1.17790971,0.02075899,0.09147273
std_seed42,42,standard,attn_gauss_r0.117_s1003,1.18063946,0.02348874,0.09147273
dg_seed42,42,dg,fp,1.15969272,0.00000000,
dg_seed42,42,dg,uniform_int4,1.23046957,0.07077685,0.11694509
dg_seed42,42,dg,isolated_int4_attn,1.17877412,0.01908140,0.11691201
dg_seed42,42,dg,isolated_int4_mlp,1.20543618,0.04574346,0.00000000
dg_seed42,42,dg,isolated_int4_attn_mlp,1.23042333,0.07073061,0.11691201
dg_seed42,42,dg,isolated_int4_attn_q,1.16204947,0.00235675,0.02994534
dg_seed42,42,dg,isolated_int4_attn_k,1.16149622,0.00180350,0.03009694
dg_seed42,42,dg,isolated_int4_attn_payload,1.16736502,0.00767230,0.02853850
dg_seed42,42,dg,isolated_int4_attn_out,1.16457985,0.00488713,0.02833122
dg_seed42,42,dg,attn_gauss_r0.117_s1001,1.16891427,0.00922155,0.09360000
dg_seed42,42,dg,attn_gauss_r0.117_s1002,1.16928264,0.00958992,0.09360000
dg_seed42,42,dg,attn_gauss_r0.117_s1003,1.16967252,0.00997980,0.09360000
