step,phase,state,standard_fp_bpb,dg_fp_bpb,dg_minus_standard_fp_bpb,standard_damage_bpb,dg_damage_bpb,standard_minus_dg_damage_bpb,favored_architecture
2000,constant_lr,mlp_deadzone_only_int5_dz1,1.31795753,1.31908511,0.00112758,0.03441165,0.02335678,0.01105487,DG
2000,constant_lr,mlp_magprune_p0.5,1.31795753,1.31908511,0.00112758,0.10923294,0.10971117,-0.00047823,standard
2000,constant_lr,uniform_int4,1.31795753,1.31908511,0.00112758,0.05185820,0.04328308,0.00857512,DG
4000,constant_lr,mlp_deadzone_only_int5_dz1,1.27668902,1.27768590,0.00099688,0.04237406,0.03050805,0.01186601,DG
4000,constant_lr,mlp_magprune_p0.5,1.27668902,1.27768590,0.00099688,0.13332686,0.13977568,-0.00644882,standard
4000,constant_lr,uniform_int4,1.27668902,1.27768590,0.00099688,0.05391189,0.04267789,0.01123400,DG
5000,constant_lr,mlp_deadzone_only_int5_dz1,1.27235809,1.27381307,0.00145498,0.04300759,0.03488989,0.00811770,DG
5000,constant_lr,mlp_magprune_p0.5,1.27235809,1.27381307,0.00145498,0.13683256,0.14276095,-0.00592839,standard
5000,constant_lr,uniform_int4,1.27235809,1.27381307,0.00145498,0.06003369,0.04532586,0.01470783,DG
6000,constant_lr,mlp_deadzone_only_int5_dz1,1.26594706,1.26754864,0.00160158,0.04753404,0.03861707,0.00891697,DG
6000,constant_lr,mlp_magprune_p0.5,1.26594706,1.26754864,0.00160158,0.14988259,0.13739310,0.01248949,DG
6000,constant_lr,uniform_int4,1.26594706,1.26754864,0.00160158,0.06039858,0.04976240,0.01063618,DG
8000,constant_lr,mlp_deadzone_only_int5_dz1,1.25891585,1.26266220,0.00374635,0.05849243,0.04330458,0.01518785,DG
8000,constant_lr,mlp_magprune_p0.5,1.25891585,1.26266220,0.00374635,0.14042181,0.13881114,0.00161067,DG
8000,constant_lr,uniform_int4,1.25891585,1.26266220,0.00374635,0.06194276,0.05860052,0.00334224,DG
10000,constant_lr,mlp_deadzone_only_int5_dz1,1.25315830,1.25381901,0.00066071,0.04862822,0.04299626,0.00563196,DG
10000,constant_lr,mlp_magprune_p0.5,1.25315830,1.25381901,0.00066071,0.13177370,0.12563231,0.00614139,DG
10000,constant_lr,uniform_int4,1.25315830,1.25381901,0.00066071,0.05802649,0.05609613,0.00193036,DG
12000,constant_lr,mlp_deadzone_only_int5_dz1,1.25120842,1.25349750,0.00228908,0.05391403,0.04620491,0.00770912,DG
12000,constant_lr,mlp_magprune_p0.5,1.25120842,1.25349750,0.00228908,0.14694808,0.13298066,0.01396742,DG
12000,constant_lr,uniform_int4,1.25120842,1.25349750,0.00228908,0.06465271,0.05740375,0.00724896,DG
14000,constant_lr,mlp_deadzone_only_int5_dz1,1.24805349,1.24964154,0.00158805,0.04516621,0.03896415,0.00620206,DG
14000,constant_lr,mlp_magprune_p0.5,1.24805349,1.24964154,0.00158805,0.12822532,0.12684976,0.00137556,DG
14000,constant_lr,uniform_int4,1.24805349,1.24964154,0.00158805,0.06140456,0.05248813,0.00891643,DG
16000,constant_lr,mlp_deadzone_only_int5_dz1,1.24449903,1.24618292,0.00168389,0.04340150,0.03970692,0.00369458,DG
16000,constant_lr,mlp_magprune_p0.5,1.24449903,1.24618292,0.00168389,0.13271528,0.13087767,0.00183761,DG
16000,constant_lr,uniform_int4,1.24449903,1.24618292,0.00168389,0.06125283,0.05552034,0.00573249,DG
17000,warmdown,mlp_deadzone_only_int5_dz1,1.24310518,1.24546661,0.00236143,0.04034836,0.03577579,0.00457257,DG
17000,warmdown,mlp_magprune_p0.5,1.24310518,1.24546661,0.00236143,0.13403846,0.12249069,0.01154777,DG
17000,warmdown,uniform_int4,1.24310518,1.24546661,0.00236143,0.06733129,0.05036047,0.01697082,DG
18000,warmdown,mlp_deadzone_only_int5_dz1,1.21798973,1.21997863,0.00198890,0.04503514,0.03636654,0.00866860,DG
18000,warmdown,mlp_magprune_p0.5,1.21798973,1.21997863,0.00198890,0.13920242,0.13190385,0.00729857,DG
18000,warmdown,uniform_int4,1.21798973,1.21997863,0.00198890,0.06915980,0.05537799,0.01378181,DG
19000,warmdown,mlp_deadzone_only_int5_dz1,1.19196585,1.19472315,0.00275730,0.04510135,0.03556577,0.00953558,DG
19000,warmdown,mlp_magprune_p0.5,1.19196585,1.19472315,0.00275730,0.16130067,0.14550806,0.01579261,DG
19000,warmdown,uniform_int4,1.19196585,1.19472315,0.00275730,0.07970413,0.06166681,0.01803732,DG
20000,warmdown,mlp_deadzone_only_int5_dz1,1.15716154,1.15968359,0.00252205,0.04648713,0.03939499,0.00709214,DG
20000,warmdown,mlp_magprune_p0.5,1.15716154,1.15968359,0.00252205,0.16703681,0.15639935,0.01063746,DG
20000,warmdown,uniform_int4,1.15716154,1.15968359,0.00252205,0.09058483,0.07077909,0.01980574,DG
